iter	Passed	Remaining
1173	41720	135963
1174	41756	135932
1175	41795	135907
1176	41830	135869
1177	41866	135835
1178	41903	135805
1179	41939	135769
1180	41975	135735
1181	42014	135712
1182	42050	135676
1183	42085	135641
1184	42121	135605
1185	42156	135568
1186	42193	135538
1187	42236	135526
1188	42282	135524
1189	42318	135490
1190	42376	135525
1191	42412	135493
1192	42454	135475
1193	42489	135441
1194	42525	135404
1195	42561	135370
1196	42597	135335
1197	42632	135300
1198	42670	135273
1199	42706	135236
1200	42743	135204
1201	42779	135170
1202	42816	135140
1203	42851	135104
1204	42890	135079
1205	42927	135047
1206	42962	135009
1207	42997	134971
1208	43033	134937
1209	43069	134904
1210	43107	134875
1211	43143	134842
1212	43180	134809
1213	43217	134778
1214	43255	134750
1215	43291	134715
1216	43332	134696
1217	43385	134717
1218	43421	134682
1219	43457	134646
1220	43492	134609
1221	43529	134579
1222	43571	134562
1223	43613	134544
1224	43651	134518
1225	43688	134487
1226	43728	134463
1227	43767	134438
1228	43803	134404
1229	43845	134389
1230	43882	134358
1231	43918	134321
1232	43956	134295
1233	43994	134265
1234	44030	134231
1235	44068	134200
1236	44102	134162
1237	44143	134142
1238	44181	134112
1239	44219	134084
1240	44257	134057
1241	44293	134022
1242	44329	133987
1243	44365	133950
1244	44426	133992
1245	44464	133965
1246	44500	133929
1247	44536	133895
1248	44572	133859
1249	44609	133827
1250	44645	133792
1251	44683	133765
1252	44721	133737
1253	44758	133704
1254	44794	133669
1255	44831	133637
1256	44867	133602
1257	44904	133570
1258	44941	133538
1259	44975	133498
1260	45009	133458
1261	45048	133431
1262	45085	133399
1263	45124	133373
1264	45160	133339
1265	45195	133303
1266	45234	133275
1267	45269	133239
1268	45307	133209
1269	45346	133182
1270	45381	133146
1271	45435	133163
1272	45472	133131
1273	45510	133102
1274	45553	133088
1275	45590	133054
1276	45626	133020
1277	45661	132984
1278	45699	132952
1279	45736	132921
1280	45776	132897
1281	45810	132857
1282	45847	132825
1283	45884	132793
1284	45920	132759
1285	45957	132726
1286	45996	132698
1287	46031	132662
1288	46069	132632
1289	46106	132600
1290	46140	132559
1291	46178	132529
1292	46219	132509
1293	46254	132472
1294	46289	132433
1295	46324	132396
1296	46359	132358
1297	46397	132330
1298	46457	132363
1299	46494	132331
1300	46531	132297
1301	46567	132263
1302	46603	132228
1303	46641	132197
1304	46678	132165
1305	46715	132134
1306	46751	132098
1307	46785	132059
1308	46820	132020
1309	46859	131993
1310	46895	131958
1311	46931	131923
1312	46967	131888
1313	47004	131855
1314	47041	131823
1315	47081	131799
1316	47118	131765
1317	47152	131726
1318	47188	131690
1319	47224	131656
1320	47261	131623
1321	47299	131593
1322	47334	131555
1323	47371	131522
1324	47407	131488
1325	47442	131451
1326	47680	131974
1327	47716	131939
1328	47750	131899
1329	47784	131857
1330	47820	131821
1331	47856	131784
1332	47892	131749
1333	47930	131719
1334	47968	131688
1335	48007	131660
1336	48043	131626
1337	48080	131593
1338	48117	131559
1339	48155	131530
1340	48192	131494
1341	48228	131461
1342	48264	131424
1343	48300	131388
1344	48337	131356
1345	48376	131327
1346	48411	131290
1347	48448	131256
1348	48485	131224
1349	48522	131191
1350	48558	131155
1351	48597	131126
1352	48634	131093
1353	48693	131118
1354	48730	131086
1355	48768	131057
1356	48807	131027
1357	48845	130998
1358	48881	130963
1359	48923	130941
1360	48960	130910
1361	48999	130880
1362	49040	130857
1363	49075	130821
1364	49113	130788
1365	49151	130757
1366	49186	130721
1367	49224	130690
1368	49263	130661
1369	49307	130645
1370	49343	130610
1371	49378	130571
1372	49414	130535
1373	49451	130504
1374	49488	130468
1375	49523	130431
1376	49560	130398
1377	49597	130363
1378	49618	130287
1379	49653	130251
1380	49716	130285
1381	49750	130244
1382	49788	130213
1383	49825	130178
1384	49861	130144
1385	49900	130116
1386	49936	130080
1387	49972	130043
1388	50008	130008
1389	50044	129970
1390	50080	129936
1391	50119	129908
1392	50155	129871
1393	50191	129835
1394	50227	129800
1395	50241	129706
1396	50275	129666
1397	50311	129629
1398	50348	129596
1399	50385	129563
1400	50421	129526
1401	50455	129486
1402	50492	129451
1403	50528	129415
1404	50569	129392
1405	50606	129359
1406	50642	129324
1407	50678	129287
1408	50740	129317
1409	50779	129289
1410	50814	129250
1411	50848	129210
1412	50883	129170
1413	50918	129133
1414	50953	129094
1415	50995	129073
1416	51030	129034
1417	51064	128994
1418	51101	128960
1419	51136	128922
1420	51173	128887
1421	51211	128857
1422	51247	128820
1423	51283	128785
1424	51318	128745
1425	51354	128710
1426	51390	128674
1427	51429	128645
1428	51467	128613
1429	51503	128578
1430	51538	128540
1431	51572	128499
1432	51607	128461
1433	51647	128433
1434	51684	128400
1435	51721	128368
1436	51777	128380
1437	51813	128344
1438	51857	128327
1439	51873	128242
1440	51910	128209
1441	51945	128169
1442	51980	128130
1443	52017	128099
1444	52057	128071
1445	52092	128034
1446	52128	127997
1447	52163	127960
1448	52201	127928
1449	52237	127892
1450	52275	127861
1451	52311	127823
1452	52345	127784
1453	52380	127745
1454	52416	127710
1455	52456	127683
1456	52495	127654
1457	52531	127616
1458	52566	127579
1459	52601	127541
1460	52637	127504
1461	52674	127470
1462	52713	127441
1463	52747	127401
1464	52807	127422
1465	52843	127386
1466	52877	127345
1467	52916	127317
1468	52954	127285
1469	52990	127248
1470	53026	127212
1471	53062	127175
1472	53097	127139
1473	53137	127112
1474	53174	127077
1475	53208	127038
1476	53244	126999
1477	53279	126962
1478	53316	126928
1479	53355	126900
1480	53391	126863
1481	53427	126827
1482	53462	126789
1483	53498	126752
1484	53537	126722
1485	53575	126692
1486	53610	126654
1487	53646	126616
1488	53682	126582
1489	53717	126543
1490	53755	126511
1491	53796	126486
1492	53854	126502
1493	53890	126466
1494	53925	126428
1495	53961	126391
1496	53998	126356
1497	54035	126322
1498	54072	126289
1499	54109	126255
1500	54153	126237
1501	54190	126203
1502	54228	126172
1503	54265	126137
1504	54300	126100
1505	54336	126063
1506	54374	126031
1507	54409	125993
1508	54448	125963
1509	54485	125930
1510	54521	125894
1511	54557	125857
1512	54593	125821
1513	54630	125788
1514	54670	125760
1515	54706	125723
1516	54741	125684
1517	54776	125645
1518	54810	125606
1519	54823	125517
1520	54885	125540
1521	54920	125501
1522	54956	125466
1523	54993	125431
1524	55029	125396
1525	55065	125359
1526	55105	125331
1527	55143	125299
1528	55181	125268
1529	55217	125231
1530	55253	125194
1531	55287	125155
1532	55324	125121
1533	55362	125089
1534	55398	125052
1535	55433	125014
1536	55468	124976
1537	55504	124938
1538	55538	124899
1539	55577	124869
1540	55614	124834
1541	55650	124798
1542	55689	124767
1543	55724	124731
1544	55762	124699
1545	55801	124669
1546	55838	124636
1547	55876	124602
1548	55938	124624
1549	55973	124586
1550	56014	124559
1551	56052	124528
1552	56088	124492
1553	56126	124460
1554	56163	124425
1555	56201	124393
1556	56244	124372
1557	56289	124356
1558	56330	124332
1559	56373	124309
1560	56409	124275
1561	56454	124256
1562	56492	124225
1563	56529	124191
1564	56566	124156
1565	56602	124119
1566	56640	124088
1567	56677	124054
1568	56718	124028
1569	56759	124003
1570	56803	123983
1571	56840	123950
1572	56881	123925
1573	56943	123945
1574	56979	123908
1575	57003	123844
1576	57042	123814
1577	57078	123779
1578	57119	123751
1579	57155	123716
1580	57191	123680
1581	57229	123646
1582	57268	123617
1583	57308	123588
1584	57345	123554
1585	57383	123523
1586	57421	123491
1587	57458	123455
1588	57496	123423
1589	57536	123395
1590	57574	123363
1591	57610	123327
1592	57646	123290
1593	57682	123254
1594	57719	123219
1595	57759	123190
1596	57798	123160
1597	57833	123122
1598	57868	123084
1599	57905	123049
1600	57970	123073
1601	58007	123038
1602	58041	122999
1603	58078	122964
1604	58113	122926
1605	58150	122891
1606	58187	122856
1607	58227	122828
1608	58262	122788
1609	58300	122756
1610	58336	122720
1611	58372	122684
1612	58410	122650
1613	58449	122620
1614	58484	122582
1615	58520	122545
1616	58558	122512
1617	58593	122474
1618	58633	122445
1619	58677	122424
1620	58713	122388
1621	58751	122355
1622	58787	122320
1623	58826	122289
1624	58866	122260
1625	58906	122232
1626	58927	122165
1627	58979	122161
1628	59028	122151
1629	59063	122113
1630	59102	122082
1631	59140	122050
1632	59176	122012
1633	59212	121976
1634	59247	121938
1635	59287	121909
1636	59331	121887
1637	59366	121849
1638	59406	121821
1639	59443	121785
1640	59480	121751
1641	59519	121721
1642	59557	121688
1643	59593	121651
1644	59629	121614
1645	59643	121533
1646	59679	121496
1647	59718	121466
1648	59756	121433
